panel_id,target_id,structure_family_id,structure_sha256
human-domainome-v1,A1X283_PF00018_155,foldseek-family-8842538ce269,fb347f09a123ef9fb57c1a0cd92407e7526160141c7dcfed8517ef51ede6c091
human-domainome-v1,A1X283_PF00018_222,foldseek-family-8842538ce269,af7b24edba4f3c82582b41349ebf0b0e248a1fe80c21047264b9893649ce9a18
human-domainome-v1,O00308_PF00397_440,foldseek-family-7f65936f9f83,6fd8e11829e1ea313d7ea0220f574a07e10bd3f8bab21d1de5ea820c7096ceb1
human-domainome-v1,O00330_PF02817_181,foldseek-family-8f2f4bcd5b50,2943215f1f695b8f5c90616f7a0328b45da21803af3a5e2f29fdc1f8712d9613
human-domainome-v1,O14529_PF02376_1036,foldseek-family-05163d54f556,403f6da02d81f196ddff7cce6b82e5a91ad6fe1c4d3730e44596fee10f003ceb
human-domainome-v1,O14529_PF02376_895,foldseek-family-05163d54f556,465ac6767037eac465233e641b09be8afcb6f659628b0f47f47d55361a78b456
human-domainome-v1,O14640_PF00778_4,foldseek-family-134047f4bde2,d960b980daeacee2ce113a3c9555ae6650ef607a78e8dcbdef3099920640a7f5
human-domainome-v1,O14776_PF01846_645,foldseek-family-6c7cc5cc429c,fea8d1162b134618a535d92a56d3e06a4b692a6a6d00407f4ea74f52a6a8fcfd
human-domainome-v1,O14776_PF01846_727,foldseek-family-6c7cc5cc429c,4319ffd7498c69f214b7fdde2098f425410269ccc3ea17d8a35381e157fda3f8
human-domainome-v1,O14776_PF01846_793,foldseek-family-6c7cc5cc429c,10b9dfe3ac8e7cd6028682ec164d37064627a3d6499be4545ef954946b142454
human-domainome-v1,O14776_PF01846_897,foldseek-family-6c7cc5cc429c,154ac0b067e60e970fa6d33592be5f306dd7f15a5f10b72f6f15e99ee14dfecb
human-domainome-v1,O14776_PF01846_955,foldseek-family-6c7cc5cc429c,b6ee82f0339cb7cb2f48cec34c75b83517393634e3cc2bf598448f71bf47aa54
human-domainome-v1,O14813_PF00046_92,foldseek-family-8fdcdcc01614,f39e7642ef8d48cc09d4f8295cec2e01aacf2b9bc28d0121a82c2dd2a80b9cce
human-domainome-v1,O14901_PF00096_395,foldseek-family-4a10d7d27713,5bb6b8dccd23d8d162b26283815710a1ddcd56989c81e774aab29230a3315fb7
human-domainome-v1,O14936_PF00595_488,foldseek-family-2d3185287d98,e58c5ca7eb3a9952329a38f3573847da2eaf771cf73a46ac361b835d3aa3cf36
human-domainome-v1,O15151_PF00641_299,foldseek-family-c0c5fe279857,dc21e2a67c729e2d66ad8c9040bb1c9d0495426cc39cf1797e5fcb57d2126e8a
human-domainome-v1,O15265_PF08313_334,foldseek-family-9ac9ee63b91c,3dc26cec1f1fc6f051b856dbfe0bb7b9e9fde5b5b7ff832c52c4228227f8444a
human-domainome-v1,O15266_PF00046_119,foldseek-family-8fdcdcc01614,88f89dc6fee8cfd3a420355cbd9893e60632ae68960b087a28aae7371f326205
human-domainome-v1,O15405_PF00505_256,foldseek-family-a7e0e568ea58,be91ccd13f570ce6d8118a2f64e2f334f0d9f95e81f692d2f40802fcbc8a00b2
human-domainome-v1,O15541_PF00642_198,foldseek-family-9cc45a3ec4a0,2f40637c8ff9a2bb5f9957b29f762482ddfa042903b981a294b8f5706e1c2d49
human-domainome-v1,O43167_PF00096_351,foldseek-family-4a10d7d27713,dc3e68ce897dbe0326d6eaceaa2bdb67f4a67843c9e2581c64bf002a4542b765
human-domainome-v1,O43167_PF00096_435,foldseek-family-4a10d7d27713,639b36b242b2f8a3007643a97a25ac9725f2e2df18d5cef8eb0d3faf5bffabfb
human-domainome-v1,O43186_PF00046_41,foldseek-family-8fdcdcc01614,39b20114416c6eaadb0d60e4ad822b5b3452adeaa0d9bb0353668e8ac241ad27
human-domainome-v1,O43295_PF00018_745,foldseek-family-8842538ce269,b6b2b8be38db42f7f0a2675c6dbec73a5284b7722a63409afff5cce76c8b6351
human-domainome-v1,O43353_PF00619_438,foldseek-family-f7c985c4645a,bfe51a62335e5a789bd92949b07509b3b9c38140b86343178f04d034b060bb6a
human-domainome-v1,O43395_PF01480_10,foldseek-family-aee5819796fb,72129c41f5e8a42e351f79ee830aff11b6cf7f1fb669d7183654f0eeac19548f
human-domainome-v1,O43586_PF00018_361,foldseek-family-8842538ce269,cf033207823c33460cac3dcbbc9483165a8b6eb3f88abaed1e97c51c41f4a338
human-domainome-v1,O60341_PF04433_186,foldseek-family-b0d21f582eff,d51a09597c7233443df33f448669c9d283c7137dd655d951847ed0d45b2bbf4b
human-domainome-v1,O60481_PF00096_389,foldseek-family-4a10d7d27713,4b7f53ec29655672265b4c9ea53bb288483848cb5de4f90feae37167e96dd6ea
human-domainome-v1,O60885_PF17035_607,foldseek-family-f6b1f402d57f,b746da8a14d7eeb0457f750cb5bf0780710dd1be124ad9ae2d77397f39ca0f79
human-domainome-v1,O75112_PF00595_1,foldseek-family-2d3185287d98,86e1fdacaf66308fe87df0357b02f43ef5503ca3f7e11b7611cf6179d4e816aa
human-domainome-v1,O75360_PF00046_71,foldseek-family-8fdcdcc01614,e9b3dec75082ff07122f920749cd97a320433c8fc65648d90c61525987e661d0
human-domainome-v1,O75366_PF02209_785,foldseek-family-a76cc157cc10,8b8ccad7627ab392d3baa1e4b984d1aab6fccd5bb13fc63225a378ae30da34ed
human-domainome-v1,O75369_PF00630_1423,foldseek-family-e36266d8f946,27a2f2e73a1d75a5a22574290d7d993982dacf82c6dbd743b764a466313a8682
human-domainome-v1,O75369_PF00630_2109,foldseek-family-c96e61a2f576,8323c9dd965aaba64854d4d3bdb09d25c733ba0185f02fda52c37cb074a6f285
human-domainome-v1,O75382_PF00643_111,foldseek-family-ac5efd723589,7dd27b5f029a8963f5968a0c185cffcfac3f44fc6e116f71351b116ff05b61a4
human-domainome-v1,O75400_PF00397_176,foldseek-family-c755ac285d79,312817e4117f7fad06e0ca42bf92ba03fccd96f76adde84b6e9095710386c549
human-domainome-v1,O75400_PF01846_395,foldseek-family-6c7cc5cc429c,d6860edf03ee8eea0220a8d10153b34583b510afc68563a08b1cd4b87d5202b8
human-domainome-v1,O75400_PF01846_459,foldseek-family-6c7cc5cc429c,d27d27baf85be073447ab2302ebb3505d74377db52b8b390934b1827cf2ac66f
human-domainome-v1,O75400_PF01846_670,foldseek-family-0b7a3395b2b6,d8f899359bdf2cc41c5dcd61c6311ec298eea7537faadcbb91c9ec48252f7b6f
human-domainome-v1,O75400_PF01846_745,foldseek-family-6c7cc5cc429c,3a4cea31db2f2ebdf7ea75b049f9093e32e1c7ffc6a3354f2246e0a08336e788
human-domainome-v1,O75478_PF04433_375,foldseek-family-92795dada19d,85d36a26e13a34d10e1b002c7c8e2e57d08ca95ce92d82357155cbe6089baa2b
human-domainome-v1,O75534_PF00313_184,foldseek-family-a3439dbc18b9,1193ef71fafc576c15fda7672b56cbe7fe19d1ec1731b4142eb714f35963ccc8
human-domainome-v1,O75534_PF00313_23,foldseek-family-a3439dbc18b9,9acc2baa43ba816a4862f0915bbbefc200f4a4a455841a11e574ad3238370e4e
human-domainome-v1,O75534_PF00313_347,foldseek-family-a3439dbc18b9,c04d1bef949aa4806e3f020ad3648456b4687a6c317632b8ae3b8a18b755b4c0
human-domainome-v1,O75554_PF06220_8,foldseek-family-dceb007ba288,f5c10837421e582ba7e3d3b55e510f8df98c54ddfd65057713222d03c0ccf3b8
human-domainome-v1,O75970_PF00595_1003,foldseek-family-2d3185287d98,670b6e713bf3c9dda51b115bc6de6545d95c8e2daade13cb7c98f59be2ba7c37
human-domainome-v1,O75970_PF00595_1860,foldseek-family-2d3185287d98,2a94adf5802e0393b4d69a9c4d88984f61840e40723dab7f1953247ed624fc02
human-domainome-v1,O75970_PF00595_372,foldseek-family-2d3185287d98,a3bd1883f507f1429f70507b9c83e373ceefe6da51f16aec3c7c1c5f3a709360
human-domainome-v1,O75970_PF00595_693,foldseek-family-2d3185287d98,5d6278f55395875d718ca502b3ce9f36e61568cd229465ea47a80cfc8bfecaff
human-domainome-v1,O94830_PF00536_389,foldseek-family-4c49d3340b9a,305d84be3c05f9f3aa475f097fc239333fcae85dc1615fdfda7b256c238a6cb6
human-domainome-v1,O94885_PF00536_630,foldseek-family-4c49d3340b9a,a315b3a6cd4f7f89d226fba404801bd0b6e186164bb009994ae4f3898b473f62
human-domainome-v1,O94929_PF00412_149,foldseek-family-fc04d2f8ea8a,8b45dee3e001ce4d1ce3d4a97954e6a97da7f82a0c94a29e807a64c406a0e8d7
human-domainome-v1,O94929_PF00412_210,foldseek-family-fc04d2f8ea8a,3f58dfa09bcc38c192ba3389dc3e5f988e9a7f0b56bef33f5732d8bc0b3a1ee8
human-domainome-v1,O94993_PF00505_338,foldseek-family-a7e0e568ea58,bf7bd64b8ca4fd0ceac7fc5d12c4faae29b3f07d60884d2baba6ebf936e464d7
human-domainome-v1,O95076_PF00046_155,foldseek-family-8fdcdcc01614,be24308274bd4dc29e636b5f8a8a5532f32cb7d27ee7867a0e8175811095bb6b
