panel_id,target_id,protein_id,sequence_sha256,sequence_length,family_id,exact_sequence_unseen,mmseqs_family_unseen,foldseek_structure_family_status,foldseek_structure_family_unseen,foldseek_structure_family_overlap_ids,pfam_clan_status,pfam_clan_unseen,pfam_clan_overlap_ids
human-domainome-v1,A1X283_PF00018_155,A1X283,2ed0fc35692646bf999e798bbc3dd3a94b073f0ff1f809f50c452c2537b56e06,55,confirmation-family-7bd4ebfadfcf,True,True,undocumented,,,undocumented,,
human-domainome-v1,A1X283_PF00018_222,A1X283,76a08b3969da56949a3c6c21dd938abe5f4640dc7da5d4d4c9baf7a60c0f54fd,59,confirmation-family-7bd4ebfadfcf,True,True,undocumented,,,undocumented,,
human-domainome-v1,O00308_PF00397_440,O00308,bd827c0e4b0196742e5d21cf5554b58bedec97c6f2385752918a7b03fa6832ce,54,confirmation-family-59c09b534018,True,False,undocumented,,,undocumented,,
human-domainome-v1,O00330_PF02817_181,O00330,585fccfd762605daa13b85f12f30634ffc717fc8a0d05ff7b843468b85fc3ab7,47,confirmation-family-775e68ddc46e,True,True,undocumented,,,undocumented,,
human-domainome-v1,O14529_PF02376_1036,O14529,1854285b8445163a97a676aa759efef9f31e5e4d62da215ef2f85cdc14bae598,89,confirmation-family-a297cd1ff1a3,True,True,undocumented,,,undocumented,,
human-domainome-v1,O14529_PF02376_895,O14529,783a983befa202dda5827fcedd11db62e81c166f3a66cbe96b9883d89991fe64,69,confirmation-family-a297cd1ff1a3,True,True,undocumented,,,undocumented,,
human-domainome-v1,O14640_PF00778_4,O14640,d047661f97c2f11070d31a4b2987441c6448ae738509c40a1fa9a9dc39ca50a4,78,confirmation-family-e58608b7ec23,True,True,undocumented,,,undocumented,,
human-domainome-v1,O14776_PF01846_645,O14776,8742b80536ef4d77839ce7708c6b3e56eb96602f99aa1e996acaeba4a52f34a3,69,confirmation-family-911215af954c,True,True,undocumented,,,undocumented,,
human-domainome-v1,O14776_PF01846_727,O14776,94a4c89c08b5d4325bd96ad46cb59d8f9d56535353193bd165a4b0a12a16fa11,50,confirmation-family-67f8c94cac68,True,True,undocumented,,,undocumented,,
human-domainome-v1,O14776_PF01846_793,O14776,f6a7cada15b62f65f5336eefa681542b7f448da729598c4d75b72aa18f05a0d2,62,confirmation-family-c6f813c90e96,True,True,undocumented,,,undocumented,,
