protocol_id,panel_id,dataset_id,assay_id,task_id,target_id,protein_id,family_id,model_id,selection_gain_sd,protein_length,assayed_fraction,mutated_positions,msa_depth,msa_neff,alignment_coverage,sequence_identity_to_development,structure_similarity_to_development,domain_coverage,score_dispersion,score_tail_separation,missing_fraction,ensemble_disagreement,ensemble_agreement,taxon,assay_modality,model_family,model_modalities,exposure_status,structure_available,development_crossover_probability_supervised_wins,transport_estimator,fold,predicted_selection_gain_sd,decision_selection_gain_sd,predicted_error_scale,lower_selection_gain_sd,auditor_selected,auditor_confidence,trusted,prediction_error,decision_prediction_error,lower_bound_covers,elastic_predicted_selection_gain_sd
variantshift-development-v1,proteingym-v1.3,proteingym-substitutions-v1.3,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,A0A140D2T1_ZIKV,cssf_a5d49b9502ef,carp_640m,0.1931785880143609,3423,0.147239263803681,504,16501,854.1,0.948,0.0,0.2561,0.0,3.2334919852757023,0.8034737699939535,0.0,0.249238015250917,0.750761984749083,Virus,OrganismalFitness,convolutional-protein-language-model,sequence,known-development-benchmark,available,,histgb,0,0.34588425037758574,0.34588425037758574,0.2778871524934235,-0.3270940093013259,False,,False,0.15270566236322483,0.15270566236322483,True,0.25265881852090727
variantshift-development-v1,proteingym-v1.3,proteingym-substitutions-v1.3,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,A0A140D2T1_ZIKV,cssf_a5d49b9502ef,esm2_150m,-0.0292027775723766,3423,0.147239263803681,504,16501,854.1,0.948,0.0,0.2561,0.0,1.16476556788347,1.3671608963584232,0.0,0.2459015735691048,0.7540984264308952,Virus,OrganismalFitness,masked-protein-language-model,sequence,known-development-benchmark,available,,histgb,0,-0.0020166401633061287,-0.0020166401633061287,0.17007672447339492,-0.41390303728885813,False,,False,0.02718613740907047,0.02718613740907047,True,0.13372325758928183
variantshift-development-v1,proteingym-v1.3,proteingym-substitutions-v1.3,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,A0A140D2T1_ZIKV,cssf_a5d49b9502ef,esm2_35m,0.0064560410628843,3423,0.147239263803681,504,16501,854.1,0.948,0.0,0.2561,0.0,1.0740707067010231,1.4386513232028433,0.0,0.2566739298132409,0.7433260701867591,Virus,OrganismalFitness,masked-protein-language-model,sequence,known-development-benchmark,available,,histgb,0,0.0069153824903267725,0.0069153824903267725,0.1793354080978254,-0.4273933998969344,False,,False,0.0004593414274424723,0.0004593414274424723,True,0.1372357857044777
variantshift-development-v1,proteingym-v1.3,proteingym-substitutions-v1.3,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,A0A140D2T1_ZIKV,cssf_a5d49b9502ef,esm2_650m,0.0776851337432295,3423,0.147239263803681,504,16501,854.1,0.948,0.0,0.2561,0.0,3.694563718346456,0.9796610424011084,0.0,0.2705748558535195,0.7294251441464805,Virus,OrganismalFitness,masked-protein-language-model,sequence,known-development-benchmark,available,,histgb,0,0.36259914389279013,0.36259914389279013,0.279498391321894,-0.31428116268890827,False,,False,0.28491401014956064,0.28491401014956064,True,0.28600438351413815
variantshift-development-v1,proteingym-v1.3,proteingym-substitutions-v1.3,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,A0A140D2T1_ZIKV,cssf_a5d49b9502ef,esm2_8m,-0.0588386739735913,3423,0.147239263803681,504,16501,854.1,0.948,0.0,0.2561,0.0,0.9631763832469032,1.6732384107069358,0.0,0.2682674581475833,0.7317325418524167,Virus,OrganismalFitness,masked-protein-language-model,sequence,known-development-benchmark,available,,histgb,0,-0.06024008744266079,-0.06024008744266079,0.1995006813108923,-0.5433844865581934,False,,False,-0.0014014134690694888,-0.0014014134690694888,True,0.17900831114802862
variantshift-development-v1,proteingym-v1.3,proteingym-substitutions-v1.3,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,A0A140D2T1_ZIKV,cssf_a5d49b9502ef,vespag,0.5073360330040683,3423,0.147239263803681,504,16501,854.1,0.948,0.0,0.2561,0.0,0.0621498380469193,2.7562548796402333,0.0,0.3139720706345916,0.6860279293654084,Virus,OrganismalFitness,distilled-evolutionary-variant-effect-model,sequence,known-development-benchmark,available,,histgb,0,0.7354459573566542,0.7354459573566542,0.24517980882239052,0.141677301378197,True,0.7064920987933442,True,0.22810992435258592,0.22810992435258592,True,0.45382830869806623
variantshift-development-v1,proteingym-v1.3,proteingym-substitutions-v1.3,A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,A0A192B1T2_9HIV1,cssf_1bf288bd319a,carp_640m,0.9306828129101086,852,0.7769953051643192,662,74854,36470.5,0.986,0.0,0.2133,0.0,4.004955417402801,1.9845519226290504,0.0,0.3950689952639725,0.6049310047360275,Virus,OrganismalFitness,convolutional-protein-language-model,sequence,known-development-benchmark,available,,histgb,3,0.5887975688074927,0.5887975688074927,0.08752380249638331,0.4345132066966274,False,,False,-0.3418852441026159,-0.3418852441026159,True,0.5048952215296121
variantshift-development-v1,proteingym-v1.3,proteingym-substitutions-v1.3,A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,A0A192B1T2_9HIV1,cssf_1bf288bd319a,esm2_150m,-0.0634174838363436,852,0.7769953051643192,662,74854,36470.5,0.986,0.0,0.2133,0.0,1.3803243047834917,1.125505730995576,0.0,0.36424669718893,0.63575330281107,Virus,OrganismalFitness,masked-protein-language-model,sequence,known-development-benchmark,available,,histgb,3,-0.00015559493399780596,-0.00015559493399780596,0.11491073067927353,-0.20271682144466907,False,,False,0.0632618889023458,0.0632618889023458,True,0.028078954842228554
variantshift-development-v1,proteingym-v1.3,proteingym-substitutions-v1.3,A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,A0A192B1T2_9HIV1,cssf_1bf288bd319a,esm2_35m,-0.0611938948174764,852,0.7769953051643192,662,74854,36470.5,0.986,0.0,0.2133,0.0,1.0712538172559896,1.4117689813719854,0.0,0.3724082813817592,0.6275917186182408,Virus,OrganismalFitness,masked-protein-language-model,sequence,known-development-benchmark,available,,histgb,3,0.01102364555386748,0.01102364555386748,0.061960812179363334,-0.09819903570885793,False,,False,0.07221754037134388,0.07221754037134388,True,0.05934929133205069
variantshift-development-v1,proteingym-v1.3,proteingym-substitutions-v1.3,A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,A0A192B1T2_9HIV1,cssf_1bf288bd319a,esm2_650m,-0.0074212903913124,852,0.7769953051643192,662,74854,36470.5,0.986,0.0,0.2133,0.0,1.8167178351083464,0.9388887861334512,0.0,0.3555543728155607,0.6444456271844393,Virus,OrganismalFitness,masked-protein-language-model,sequence,known-development-benchmark,available,,histgb,3,0.06022140832807252,0.06022140832807252,0.07563472667912864,-0.07310524369440113,False,,False,0.06764269871938491,0.06764269871938491,True,0.03122415736299039
variantshift-development-v1,proteingym-v1.3,proteingym-substitutions-v1.3,A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,A0A192B1T2_9HIV1,cssf_1bf288bd319a,esm2_8m,-0.0487206072792298,852,0.7769953051643192,662,74854,36470.5,0.986,0.0,0.2133,0.0,1.040000320209489,1.4165589170423645,0.0,0.3675946156538821,0.6324053843461179,Virus,OrganismalFitness,masked-protein-language-model,sequence,known-development-benchmark,available,,histgb,3,0.007589455313674114,0.007589455313674114,0.08353306273257635,-0.13966014915129407,False,,False,0.056310062592903914,0.056310062592903914,True,0.06000658129038733
variantshift-development-v1,proteingym-v1.3,proteingym-substitutions-v1.3,A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1_Haddox_2018,A0A192B1T2_9HIV1,A0A192B1T2_9HIV1,cssf_1bf288bd319a,vespag,0.3249930860882668,852,0.7769953051643192,662,74854,36470.5,0.986,0.0,0.2133,0.0,0.0500829330531196,2.6192548754721616,0.0,0.3483812775371809,0.651618722462819,Virus,OrganismalFitness,distilled-evolutionary-variant-effect-model,sequence,known-development-benchmark,available,,histgb,3,0.5869538006842389,0.5869538006842389,0.1637530364408858,0.2982948067831988,True,1.5106240908505217,True,0.26196071459597203,0.26196071459597203,True,0.39044377670620717
variantshift-development-v1,proteingym-v1.3,proteingym-substitutions-v1.3,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,A0A1I9GEU1_NEIME,cssf_977f4be4ca9f,carp_640m,0.1182394227272361,161,1.0,161,5553,2265.9,0.857,0.0,0.3352,1.0,3.688862080752421,1.8222147553571104,0.0,0.1694782142531274,0.8305217857468725,Prokaryote,Activity,convolutional-protein-language-model,sequence,known-development-benchmark,available,,histgb,2,0.5281913533439292,0.5281913533439292,0.14676290422165136,0.14463025786467976,False,,False,0.4099519306166931,0.4099519306166931,False,0.6004201440466148
variantshift-development-v1,proteingym-v1.3,proteingym-substitutions-v1.3,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,A0A1I9GEU1_NEIME,cssf_977f4be4ca9f,esm2_150m,0.0465745686909572,161,1.0,161,5553,2265.9,0.857,0.0,0.3352,1.0,2.6906822039899785,0.7891462869214394,0.0,0.1958393278034969,0.8041606721965031,Prokaryote,Activity,masked-protein-language-model,sequence,known-development-benchmark,available,,histgb,2,0.3220846618179932,0.3220846618179932,0.17747745511254812,-0.14174812662989072,False,,False,0.275510093127036,0.275510093127036,True,0.26357209258500514
variantshift-development-v1,proteingym-v1.3,proteingym-substitutions-v1.3,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,A0A1I9GEU1_NEIME,cssf_977f4be4ca9f,esm2_35m,-0.1024327389071795,161,1.0,161,5553,2265.9,0.857,0.0,0.3352,1.0,2.3815977493941523,0.7825894825235253,0.0,0.2533463039693026,0.7466536960306974,Prokaryote,Activity,masked-protein-language-model,sequence,known-development-benchmark,available,,histgb,2,0.20659573229175965,0.20659573229175965,0.16598790926005216,-0.22720942201305266,False,,False,0.30902847119893917,0.30902847119893917,True,0.19993474271296052
variantshift-development-v1,proteingym-v1.3,proteingym-substitutions-v1.3,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,A0A1I9GEU1_NEIME,cssf_977f4be4ca9f,esm2_650m,-0.0986406890395417,161,1.0,161,5553,2265.9,0.857,0.0,0.3352,1.0,3.148522148985061,0.9420645869465428,0.0,0.1653213405883502,0.8346786594116498,Prokaryote,Activity,masked-protein-language-model,sequence,known-development-benchmark,available,,histgb,2,0.3584659344962689,0.3584659344962689,0.09038355138185379,0.1222508352844717,False,,False,0.4571066235358106,0.4571066235358106,False,0.3467260370314068
variantshift-development-v1,proteingym-v1.3,proteingym-substitutions-v1.3,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,A0A1I9GEU1_NEIME,cssf_977f4be4ca9f,esm2_8m,-0.0676967240975468,161,1.0,161,5553,2265.9,0.857,0.0,0.3352,1.0,2.017446481405209,0.8695717942097353,0.0,0.2556958282774597,0.7443041717225403,Prokaryote,Activity,masked-protein-language-model,sequence,known-development-benchmark,available,,histgb,2,0.12336804312524578,0.12336804312524578,0.14991318555993302,-0.2684262320364815,False,,False,0.1910647672227926,0.1910647672227926,True,0.18955953831277705
variantshift-development-v1,proteingym-v1.3,proteingym-substitutions-v1.3,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME_Kennouche_2019,A0A1I9GEU1_NEIME,A0A1I9GEU1_NEIME,cssf_977f4be4ca9f,vespag,0.0065171137355787,161,1.0,161,5553,2265.9,0.857,0.0,0.3352,1.0,0.1208308929165832,1.8962517089987208,0.0,0.1633919436877853,0.8366080563122147,Prokaryote,Activity,distilled-evolutionary-variant-effect-model,sequence,known-development-benchmark,available,,histgb,2,0.5228999935542054,0.5228999935542054,0.14373104901699085,0.14726257408696614,True,-0.8007030326518727,True,0.5163828798186266,0.5163828798186266,False,0.39468580115946583
variantshift-development-v1,proteingym-v1.3,proteingym-substitutions-v1.3,A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,A0A247D711_LISMN,cssf_c9df9de4e934,carp_640m,-0.1575417440549658,87,1.0,87,57,8.9,1.0,0.0,0.4406,1.0,1.5970209118077243,1.1549808752096529,0.0,0.0304538425626779,0.969546157437322,Prokaryote,Activity,convolutional-protein-language-model,sequence,known-development-benchmark,available,,histgb,4,0.18520866788094656,0.18520866788094656,0.14887236358416153,-0.43042263785657664,False,,False,0.3427504119359124,0.3427504119359124,True,0.39439700549356127
variantshift-development-v1,proteingym-v1.3,proteingym-substitutions-v1.3,A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,A0A247D711_LISMN,cssf_c9df9de4e934,esm2_150m,-0.080339686002854,87,1.0,87,57,8.9,1.0,0.0,0.4406,1.0,1.5901521286838236,1.2887762948728676,0.0,0.0444323572810678,0.955567642718932,Prokaryote,Activity,masked-protein-language-model,sequence,known-development-benchmark,available,,histgb,4,0.1514892941063707,0.1514892941063707,0.1461889755718889,-0.45304540762740186,False,,False,0.2318289801092247,0.2318289801092247,True,0.3794203841401812
variantshift-development-v1,proteingym-v1.3,proteingym-substitutions-v1.3,A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,A0A247D711_LISMN,cssf_c9df9de4e934,esm2_35m,-0.1457350484874278,87,1.0,87,57,8.9,1.0,0.0,0.4406,1.0,1.5427714393498029,1.304092019859985,0.0,0.0284989379158651,0.9715010620841348,Prokaryote,Activity,masked-protein-language-model,sequence,known-development-benchmark,available,,histgb,4,0.12943517773234478,0.12943517773234478,0.16683916343652985,-0.5604941655102067,False,,False,0.2751702262197726,0.2751702262197726,True,0.3906272240010825
variantshift-development-v1,proteingym-v1.3,proteingym-substitutions-v1.3,A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,A0A247D711_LISMN,cssf_c9df9de4e934,esm2_650m,-0.0410214007610705,87,1.0,87,57,8.9,1.0,0.0,0.4406,1.0,1.5013306586472837,1.3364199090299784,0.0,0.0416462465360523,0.9583537534639476,Prokaryote,Activity,masked-protein-language-model,sequence,known-development-benchmark,available,,histgb,4,0.16333572697535378,0.16333572697535378,0.17437124865118617,-0.5577410189414607,False,,False,0.20435712773642428,0.20435712773642428,True,0.3855816566732605
variantshift-development-v1,proteingym-v1.3,proteingym-substitutions-v1.3,A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,A0A247D711_LISMN,cssf_c9df9de4e934,esm2_8m,-0.139853911085786,87,1.0,87,57,8.9,1.0,0.0,0.4406,1.0,1.4358834057940102,1.391704389563489,0.0,0.0416462465360523,0.9583537534639476,Prokaryote,Activity,masked-protein-language-model,sequence,known-development-benchmark,available,,histgb,4,0.15730793791912867,0.15730793791912867,0.1685170238088113,-0.539559854790902,False,,False,0.29716184900491466,0.29716184900491466,True,0.39360178382175043
variantshift-development-v1,proteingym-v1.3,proteingym-substitutions-v1.3,A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN_Stadelmann_2021,A0A247D711_LISMN,A0A247D711_LISMN,cssf_c9df9de4e934,vespag,0.4376326656161532,87,1.0,87,57,8.9,1.0,0.0,0.4406,1.0,0.0605721809351165,2.6305464915787997,0.0,0.2995034949219288,0.7004965050780712,Prokaryote,Activity,distilled-evolutionary-variant-effect-model,sequence,known-development-benchmark,available,,histgb,4,0.5905680613603886,0.5905680613603886,0.14821874858919823,-0.02236035283224813,True,-3.63653811921505,False,0.15293539574423543,0.15293539574423543,True,0.45963942579182837
variantshift-development-v1,proteingym-v1.3,proteingym-substitutions-v1.3,A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,A0A2Z5U3Z0_9INFA,cssf_97ae43962602,carp_640m,0.3395793640269513,565,0.9982300884955752,564,57581,9047.2,0.968,0.0,0.2744,0.0,3.967669696053643,1.334058079473013,0.0,0.3270275814961783,0.6729724185038217,Virus,OrganismalFitness,convolutional-protein-language-model,sequence,known-development-benchmark,available,,histgb,2,0.5352673827433859,0.5352673827433859,0.04355417363121304,0.4214396642250099,False,,False,0.1956880187164346,0.1956880187164346,False,0.34867826463101725
variantshift-development-v1,proteingym-v1.3,proteingym-substitutions-v1.3,A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,A0A2Z5U3Z0_9INFA,cssf_97ae43962602,esm2_150m,-0.076061916711406,565,0.9982300884955752,564,57581,9047.2,0.968,0.0,0.2744,0.0,1.4823047245492371,1.130250712005371,0.0,0.3576418676156818,0.6423581323843182,Virus,OrganismalFitness,masked-protein-language-model,sequence,known-development-benchmark,available,,histgb,2,-0.0031404919278769233,-0.0031404919278769233,0.10467163598780924,-0.27669713471858604,False,,False,0.07292142478352907,0.07292142478352907,True,0.06466073244237314
