fold,repeat,assay_id,uniprot_id,model,calibration_method,retained_fraction,retained_rows,mae,normalized_mae,uncertainty_threshold,family_id
0,0,A0A140D2T1_ZIKV_Sourisseau_2019,A0A140D2T1_ZIKV,cross_protein_histgb,mondrian_substitution,0.25,250,0.23038444046297987,0.7980755113482719,0.3291547324325542,sf_a5d49b9502ef
0,0,A4GRB6_PSEAI_Chen_2020,A4GRB6_PSEAI,cross_protein_histgb,mondrian_substitution,0.25,250,0.17436243980275476,0.6040095113449134,0.3291547324325542,sf_579275b2407d
0,0,AACC1_PSEAI_Dandage_2018,AACC1_PSEAI,cross_protein_histgb,mondrian_substitution,0.25,250,0.22602872153205555,0.7829868531692017,0.3289213729699324,sf_c8ac09285ada
0,0,ADRB2_HUMAN_Jones_2020,ADRB2_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.1948670485549181,0.675039595156101,0.3291547324325542,sf_e2a3e4f1f860
0,0,CATR_CHLRE_Tsuboyama_2023_2AMI,CATR_CHLRE,cross_protein_histgb,mondrian_substitution,0.25,250,0.19520374851429279,0.6762059586123695,0.3289213729699324,sf_61777c3573dc
0,0,CBX4_HUMAN_Tsuboyama_2023_2K28,CBX4_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,230,0.17313017475066755,0.5997408745941775,0.3289213729699324,sf_2ed9fd8d158e
0,0,CD19_HUMAN_Klesmith_2019_FMC_singles,CD19_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.22918965536326952,0.7939430618198124,0.3291547324325542,sf_1ca77773c7d8
0,0,FKBP3_HUMAN_Tsuboyama_2023_2KFV,FKBP3_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.20356641525023716,0.7051751004437877,0.3289213729699324,sf_178ecc1910b6
0,0,IF1_ECOLI_Kelsic_2016,IF1_ECOLI,cross_protein_histgb,mondrian_substitution,0.25,250,0.20321475328611993,0.7039584973024418,0.3289213729699324,sf_ab9383c4e9ad
0,0,MAFG_MOUSE_Tsuboyama_2023_1K1V,MAFG_MOUSE,cross_protein_histgb,mondrian_substitution,0.25,191,0.16876126913568515,0.5846066883981628,0.3289213729699324,sf_a1eda43852c5
0,0,MET_HUMAN_Estevam_2023,MET_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.17868772444625608,0.6189927443560153,0.3291547324325542,sf_9e206bd97a80
0,0,MTH3_HAEAE_RockahShmuel_2015,MTH3_HAEAE,cross_protein_histgb,mondrian_substitution,0.25,250,0.1902350070308743,0.664160016648446,0.3287379739965808,sf_9a90786f7320
0,0,NKX31_HUMAN_Tsuboyama_2023_2L9R,NKX31_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.1610754734852489,0.5579820868504425,0.3289213729699324,sf_3de478b56341
0,0,NUD15_HUMAN_Suiter_2020,NUD15_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.19472543945617596,0.6745490466031558,0.3289213729699324,sf_7dd15a2e7599
0,0,ODP2_GEOSE_Tsuboyama_2023_1W4G,ODP2_GEOSE,cross_protein_histgb,mondrian_substitution,0.25,168,0.16728510957010662,0.5794932656409256,0.3289213729699324,sf_a7d25cc6753c
0,0,P84126_THETH_Chan_2017,P84126_THETH,cross_protein_histgb,mondrian_substitution,0.25,250,0.22803389517557182,0.7899329819202416,0.3291547324325542,sf_415fc4c4433b
0,0,PITX2_HUMAN_Tsuboyama_2023_2L7M,PITX2_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,235,0.1537041941820834,0.5324472499001739,0.3289213729699324,sf_3de478b56341
0,0,POLG_CXB3N_Mattenberger_2021,POLG_CXB3N,cross_protein_histgb,mondrian_substitution,0.25,250,0.23918591528010755,0.8285647297224912,0.3291547324325542,sf_6872ef7481de
0,0,PPM1D_HUMAN_Miller_2022,PPM1D_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.18068084472095022,0.6258979395244925,0.3291547324325542,sf_c26e504ac4d4
0,0,PSAE_PICP2_Tsuboyama_2023_1PSE,PSAE_PICP2,cross_protein_histgb,mondrian_substitution,0.25,250,0.17083588850952036,0.5917931732059835,0.3291547324325542,sf_b20798b8020c
0,0,PTEN_HUMAN_Matreyek_2021,PTEN_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.23355108809531247,0.8090452030963335,0.3289213729699324,sf_a81536eee23e
0,0,PTEN_HUMAN_Mighell_2018,PTEN_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.21279154010475826,0.7371318885419766,0.3289213729699324,sf_a81536eee23e
0,0,RD23A_HUMAN_Tsuboyama_2023_1IFY,RD23A_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,200,0.1521423678873365,0.5270370361437363,0.3291547324325542,sf_3998cbaed1a7
0,0,RDRP_I33A0_Li_2023,RDRP_I33A0,cross_protein_histgb,mondrian_substitution,0.25,250,0.2572495203531502,0.8911389352120119,0.3289213729699324,sf_bcc2d8a187a4
0,0,REV_HV1H2_Fernandes_2016,REV_HV1H2,cross_protein_histgb,mondrian_substitution,0.25,250,0.22396804557508038,0.7758484563402073,0.3289213729699324,sf_4ddd0adc0328
0,0,RFAH_ECOLI_Tsuboyama_2023_2LCL,RFAH_ECOLI,cross_protein_histgb,mondrian_substitution,0.25,243,0.16977378066690213,0.5881139409890621,0.3289213729699324,sf_cc6a74504a45
0,0,RPC1_BP434_Tsuboyama_2023_1R69,RPC1_BP434,cross_protein_histgb,mondrian_substitution,0.25,250,0.14486408524072503,0.501824162569993,0.3291547324325542,sf_ffbe89385f32
0,0,SDA_BACSU_Tsuboyama_2023_1PV0,SDA_BACSU,cross_protein_histgb,mondrian_substitution,0.25,209,0.1512599245407389,0.5239801255701128,0.3289213729699324,sf_3a5047c87583
0,0,SR43C_ARATH_Tsuboyama_2023_2N88,SR43C_ARATH,cross_protein_histgb,mondrian_substitution,0.25,223,0.14245873147174226,0.49349183399158064,0.3291547324325542,sf_3b0bdc6eb756
0,0,SRBS1_HUMAN_Tsuboyama_2023_2O2W,SRBS1_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.14782350979075215,0.5120759150594978,0.3289213729699324,sf_fd69b9c71495
0,0,TPMT_HUMAN_Matreyek_2018,TPMT_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.20223370350398878,0.7005584492227696,0.3289213729699324,sf_b5a772423035
0,0,TPOR_HUMAN_Bridgford_2020,TPOR_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,141,0.24190705188718148,0.8379919357481548,0.33118105328091696,sf_540579521118
0,0,TRPC_SACS2_Chan_2017,TRPC_SACS2,cross_protein_histgb,mondrian_substitution,0.25,250,0.20725376897102354,0.7179485178871923,0.3291547324325542,sf_415fc4c4433b
0,0,TRPC_THEMA_Chan_2017,TRPC_THEMA,cross_protein_histgb,mondrian_substitution,0.25,250,0.20684698514204836,0.716539342185182,0.3291547324325542,sf_415fc4c4433b
0,0,VILI_CHICK_Tsuboyama_2023_1YU5,VILI_CHICK,cross_protein_histgb,mondrian_substitution,0.25,250,0.16520176985097879,0.5722760039024647,0.3289213729699324,sf_0815efaffc38
0,0,YNZC_BACSU_Tsuboyama_2023_2JVD,YNZC_BACSU,cross_protein_histgb,mondrian_substitution,0.25,179,0.15733482172424348,0.545024344604038,0.3289213729699324,sf_ca121528f828
1,0,A0A2Z5U3Z0_9INFA_Doud_2016,A0A2Z5U3Z0_9INFA,cross_protein_histgb,mondrian_substitution,0.25,250,0.1975781201634419,0.6844310273896597,0.3110016053149893,sf_97ae43962602
1,0,A0A2Z5U3Z0_9INFA_Wu_2014,A0A2Z5U3Z0_9INFA,cross_protein_histgb,mondrian_substitution,0.25,250,0.2221905025746958,0.7697389569838825,0.3085521137919419,sf_97ae43962602
1,0,ARGR_ECOLI_Tsuboyama_2023_1AOY,ARGR_ECOLI,cross_protein_histgb,mondrian_substitution,0.25,250,0.16218642641983974,0.561830542629729,0.31233912469008585,sf_8af86fe1b209
1,0,C6KNH7_9INFA_Lee_2018,C6KNH7_9INFA,cross_protein_histgb,mondrian_substitution,0.25,250,0.20588264230059855,0.7131987503217964,0.3110016053149893,sf_97ae43962602
1,0,CAPSD_AAV2S_Sinai_2021,CAPSD_AAV2S,cross_protein_histgb,mondrian_substitution,0.25,133,0.24715388701250413,0.8561676917244204,0.3085521137919419,sf_c257cf3223e7
1,0,CBS_HUMAN_Sun_2020,CBS_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.22286054367209965,0.7798109596631168,0.3110016053149893,sf_c188af622fce
1,0,DLG4_HUMAN_Faure_2021,DLG4_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.25006944550090915,0.8662664655608622,0.3110016053149893,sf_d98da1f7d712
1,0,DLG4_RAT_McLaughlin_2012,DLG4_RAT,cross_protein_histgb,mondrian_substitution,0.25,250,0.23768460750279014,0.8233641333493439,0.3110016053149893,sf_d98da1f7d712
1,0,EPHB2_HUMAN_Tsuboyama_2023_1F0M,EPHB2_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.13620670832598392,0.47183411422175403,0.31233912469008585,sf_77c475a042b9
1,0,HXK4_HUMAN_Gersing_2022_activity,HXK4_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.19183147932998296,0.6645240696433766,0.31075289929679517,sf_b10f2912eeeb
1,0,HXK4_HUMAN_Gersing_2023_abundance,HXK4_HUMAN,cross_protein_histgb,mondrian_substitution,0.25,250,0.23225691062189466,0.8045619414932818,0.3110016053149893,sf_b10f2912eeeb
